#id,名字,类型,可否删除,环,节点数,精力,生成任务条件,接任务条件,初始任务条件,交任务条件,任务奖励,下一个任务,提交条件,成功处理,失败处理,事件,flag
id_kn,name_s,type_n,canDelete_b,hoop_n,maxnode_n,energy,build_t,accept_t,init_t,finish_t,prize_t,nexttask_t,commit_t,succeed_t,fail_t,event_t,flag_c
1001,穿戴一件装备,1,0,0,,,,,,R_EQUIP_MAX_NUM=1,"{""exp"",35000},{""bindRmb"",50},{""funds"",300000}",1003,,,,,
1003,技能升级1次,1,0,0,,,,,,R_SKILL_UP_NUM=1,"{""exp"",66340},{""bindRmb"",50},{""funds"",300000}",1005,,,,,
1005,东海龙宫1_1,1,0,0,,,,,,CAMPAIGN_ID=1001,"{""exp"",105400},{""bindRmb"",50},{""funds"",300000},{""item"",20013,1}",1007,,,,,
1007,宠物升级1次,1,0,0,,,,,,PET_STAGE_STEP_NUM=1,"{""exp"",146010},{""bindRmb"",50},{""funds"",300000}",1009,,,,,
1009,技能升级3次,1,0,0,,,,,,R_SKILL_UP_NUM=3,"{""exp"",207390},{""bindRmb"",50},{""funds"",300000}",1011,,,,,
1011,东海龙宫1_2,1,0,0,,,,,,CAMPAIGN_ID=1002,"{""exp"",276520},{""bindRmb"",50},{""funds"",300000},{""item"",20013,9}",1013,,,,,
1013,升级宠物4次,1,0,0,,,,,,PET_STAGE_STEP_NUM=4,"{""exp"",328910},{""bindRmb"",50},{""funds"",300000},{""equip"",15002,1,1},{""equip"",15003,1,1},{""equip"",15004,1,1},{""equip"",15005,1,1}",1015,,,,,
1015,穿戴5件装备,1,0,0,,,,,,R_EQUIP_MAX_NUM=5,"{""exp"",383160},{""bindRmb"",50},{""funds"",300000}",1017,,,,,
1017,东海龙宫1_3,1,0,0,,,,,,CAMPAIGN_ID=1003,"{""exp"",438960},{""bindRmb"",50},{""funds"",300000}",1019,,,,,
1019,强化提升5次,1,0,0,,,,,,R_EQ_QH_NUM=5,"{""exp"",560170},{""bindRmb"",50},{""funds"",300000}",1021,,,,,
1021,等级升到8级,1,0,0,,,,,,ROLE_MAX_LEVEL=8,"{""exp"",319300},{""bindRmb"",50},{""funds"",300000}",1023,,,,,
1023,东海龙宫1_4,1,0,0,,,,,,CAMPAIGN_ID=1004,"{""exp"",337590},{""bindRmb"",50},{""funds"",300000}",1025,,,,,
1025,世界频道发言,1,0,0,,,,,,ROLE_WORLD_TALK_NUM=1,"{""exp"",356500},{""bindRmb"",50},{""funds"",300000},{""item"",20001,9}",1027,,,,,
1027,坐骑进阶3次,1,0,0,,,,,,RIDE_STAGE_STEP_NUM=3,"{""exp"",375410},{""bindRmb"",50},{""funds"",300000}",1029,,,,,
1029,东海龙宫1_5,1,0,0,,,,,,CAMPAIGN_ID=1005,"{""exp"",394630},{""bindRmb"",50},{""funds"",300000},{""item"",20013,100}",1031,,,,,
1031,宠物升级3次,1,0,0,,,,,,PET_STAGE_STEP_NUM=3,"{""exp"",413850},{""bindRmb"",50},{""funds"",300000},{""equip"",15006,1,1},{""equip"",15007,1,1},{""equip"",15008,1,1}",1033,,,,,
