#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
3001,乌鸡国1_3,10001,桤木西,通关乌鸡国1_3,通关乌鸡国1_3,,主线,1,,,与%s对话,与%s对话,
3003,乌鸡国1_6,10001,桤木西,通关乌鸡国1_6,通关乌鸡国1_6,,主线,1,,,与%s对话,与%s对话,
3005,乌鸡国1_9,10001,桤木西,通关乌鸡国1_9,通关乌鸡国1_9,,主线,1,,,与%s对话,与%s对话,
3007,乌鸡国2_3,10001,桤木西,通关乌鸡国2_3,通关乌鸡国2_3,,主线,1,,,与%s对话,与%s对话,
3009,乌鸡国2_6,10001,桤木西,通关乌鸡国2_6,通关乌鸡国2_6,,主线,1,,,与%s对话,与%s对话,
3011,乌鸡国2_9,10001,桤木西,通关乌鸡国2_9,通关乌鸡国2_9,,主线,1,,,与%s对话,与%s对话,
3013,乌鸡国3_3,10001,桤木西,通关乌鸡国3_3,通关乌鸡国3_3,,主线,1,,,与%s对话,与%s对话,
3015,乌鸡国3_6,10001,桤木西,通关乌鸡国3_6,通关乌鸡国3_6,,主线,1,,,与%s对话,与%s对话,
3017,乌鸡国3_9,10001,桤木西,通关乌鸡国3_9,通关乌鸡国3_9,,主线,1,,,与%s对话,与%s对话,
3019,乌鸡国4_3,10001,桤木西,通关乌鸡国4_3,通关乌鸡国4_3,,主线,1,,,与%s对话,与%s对话,
3021,乌鸡国4_6,10001,桤木西,通关乌鸡国4_6,通关乌鸡国4_6,,主线,1,,,与%s对话,与%s对话,
3023,乌鸡国4_9,10001,桤木西,通关乌鸡国4_9,通关乌鸡国4_9,,主线,1,,,与%s对话,与%s对话,
3025,乌鸡国5_3,10001,桤木西,通关乌鸡国5_3,通关乌鸡国5_3,,主线,1,,,与%s对话,与%s对话,
3027,乌鸡国5_6,10001,桤木西,通关乌鸡国5_6,通关乌鸡国5_6,,主线,1,,,与%s对话,与%s对话,
3029,乌鸡国5_9,10001,桤木西,通关乌鸡国5_9,通关乌鸡国5_9,,主线,1,,,与%s对话,与%s对话,
3031,乌鸡国6_3,10001,桤木西,通关乌鸡国6_3,通关乌鸡国6_3,,主线,1,,,与%s对话,与%s对话,
3033,乌鸡国6_6,10001,桤木西,通关乌鸡国6_6,通关乌鸡国6_6,,主线,1,,,与%s对话,与%s对话,
3035,乌鸡国6_9,10001,桤木西,通关乌鸡国6_9,通关乌鸡国6_9,,主线,1,,,与%s对话,与%s对话,
3037,乌鸡国7_3,10001,桤木西,通关乌鸡国7_3,通关乌鸡国7_3,,主线,1,,,与%s对话,与%s对话,
3039,乌鸡国7_6,10001,桤木西,通关乌鸡国7_6,通关乌鸡国7_6,,主线,1,,,与%s对话,与%s对话,
3041,乌鸡国7_9,10001,桤木西,通关乌鸡国7_9,通关乌鸡国7_9,,主线,1,,,与%s对话,与%s对话,
3043,乌鸡国8_3,10001,桤木西,通关乌鸡国8_3,通关乌鸡国8_3,,主线,1,,,与%s对话,与%s对话,
3045,乌鸡国8_6,10001,桤木西,通关乌鸡国8_6,通关乌鸡国8_6,,主线,1,,,与%s对话,与%s对话,
3047,乌鸡国8_9,10001,桤木西,通关乌鸡国8_9,通关乌鸡国8_9,,主线,1,,,与%s对话,与%s对话,
3049,乌鸡国9_3,10001,桤木西,通关乌鸡国9_3,通关乌鸡国9_3,,主线,1,,,与%s对话,与%s对话,
3051,乌鸡国9_6,10001,桤木西,通关乌鸡国9_6,通关乌鸡国9_6,,主线,1,,,与%s对话,与%s对话,
3053,乌鸡国9_9,10001,桤木西,通关乌鸡国9_9,通关乌鸡国9_9,,主线,1,,,与%s对话,与%s对话,
3055,乌鸡国10_3,10001,桤木西,通关乌鸡国10_3,通关乌鸡国10_3,,主线,1,,,与%s对话,与%s对话,
3057,乌鸡国10_6,10001,桤木西,通关乌鸡国10_6,通关乌鸡国10_6,,主线,1,,,与%s对话,与%s对话,
3059,乌鸡国10_9,10001,桤木西,通关乌鸡国10_9,通关乌鸡国10_9,,主线,1,,,与%s对话,与%s对话,
3061,前往火云洞,10001,桤木西,完成前往火云洞,完成前往火云洞,,主线,1,,,与%s对话,与%s对话,
3063,火云洞1_3,10001,桤木西,通关火云洞1_3,通关火云洞1_3,,主线,1,,,与%s对话,与%s对话,
3065,火云洞1_6,10001,桤木西,通关火云洞1_6,通关火云洞1_6,,主线,1,,,与%s对话,与%s对话,
3067,火云洞1_9,10001,桤木西,通关火云洞1_9,通关火云洞1_9,,主线,1,,,与%s对话,与%s对话,
3069,火云洞2_3,10001,桤木西,通关火云洞2_3,通关火云洞2_3,,主线,1,,,与%s对话,与%s对话,
3071,火云洞2_6,10001,桤木西,通关火云洞2_6,通关火云洞2_6,,主线,1,,,与%s对话,与%s对话,
3073,火云洞2_9,10001,桤木西,通关火云洞2_9,通关火云洞2_9,,主线,1,,,与%s对话,与%s对话,
3075,火云洞3_3,10001,桤木西,通关火云洞3_3,通关火云洞3_3,,主线,1,,,与%s对话,与%s对话,
3077,火云洞3_6,10001,桤木西,通关火云洞3_6,通关火云洞3_6,,主线,1,,,与%s对话,与%s对话,
3079,火云洞3_9,10001,桤木西,通关火云洞3_9,通关火云洞3_9,,主线,1,,,与%s对话,与%s对话,
3081,火云洞4_3,10001,桤木西,通关火云洞4_3,通关火云洞4_3,,主线,1,,,与%s对话,与%s对话,
3083,火云洞4_6,10001,桤木西,通关火云洞4_6,通关火云洞4_6,,主线,1,,,与%s对话,与%s对话,
3085,火云洞4_9,10001,桤木西,通关火云洞4_9,通关火云洞4_9,,主线,1,,,与%s对话,与%s对话,
3087,火云洞5_3,10001,桤木西,通关火云洞5_3,通关火云洞5_3,,主线,1,,,与%s对话,与%s对话,
3089,火云洞5_6,10001,桤木西,通关火云洞5_6,通关火云洞5_6,,主线,1,,,与%s对话,与%s对话,
