#filename,type
filename_s,type_s
#新资源,类型
ui/imageset/00_tongYong01.json,login
ui/imageset/27_dengLu.json,login

ui/imageset/00_tongYong02.json,game
ui/imageset/01_chengHao.json,game
ui/imageset/01_chongWu.json,game
ui/imageset/01_shiZhuang.json,game
ui/imageset/01_zhuCheng.json,game
ui/imageset/01_zhuCheng02.json,game
ui/imageset/01_zhuCheng03.json,game
ui/imageset/01_zhuCheng04.json,game
ui/imageset/03_huoBan.json,game
ui/imageset/04_chongWu.json,game
ui/imageset/05_xianLv.json,game
ui/imageset/06_guanKa.json,game
ui/imageset/07_liaoTian.json,game
ui/imageset/07_liaoTian02.json,game
ui/imageset/08_wanJiaXiangQing.json,game
ui/imageset/09_bangHui.json,game
ui/imageset/10_riChang.json,game
ui/imageset/11_huoDong.json,game
ui/imageset/12_jingJi.json,game
ui/imageset/13_fuBen.json,game
ui/imageset/14_zhanDou.json,game
ui/imageset/15_boss.json,game
ui/imageset/17_shangDian.json,game
ui/imageset/16_chongZhi.json,game
ui/imageset/18_sanShengSanShi.json,game
ui/imageset/19_taoZhuang.json,game
ui/imageset/20_daTi.json,game
ui/imageset/21_tianXian.json,game
ui/imageset/22_meiRiChongZhi.json,game
ui/imageset/23_fuLiDaTing.json,game
ui/imageset/24_zhiShengYiJie.json,game
ui/imageset/25_xunBao.json,game
ui/imageset/26_shouChong.json,game
ui/imageset/28_kaiFuHuoDong.json,game
ui/imageset/31_paiHangBang.json,game
ui/imageset/32_jinRiHaoLi.json,game
ui/imageset/33_faBao.json,game
ui/imageset/changJingXiaoTuBiao.json,game
ui/imageset/changJingXiaoTuBiao02.json,game
ui/imageset/changJingXiaoTuBiao03.json,game
ui/imageset/shuZi.json,game



##图标,game
ui/icon/TB_chongWuTouXiang01.json,game
ui/icon/TB_wuPin01.json,game
ui/icon/TB_wuPin02.json,game
ui/icon/TB_zhuangBei01.json,game
ui/icon/xianLvTouXiang01.json,game
ui/icon/TB_skill01.json,game
ui/icon/TB_skill02.json,game
ui/icon/TB_skill03.json,game



#动画,game
ui/anim/shoushou.json,game
ui/anim/xinShouKuang.json,game
ui/anim/yuan.json,game
ui/anim/loading.json,login
data/sprite/screen_effect/xsChengHao/xsChengHao.json,game
data/sprite/screen_effect/xsShengMingDan/xsShengMingDan.json,game
data/sprite/screen_effect/xsXianWei/xsXianWei.json,game


