#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
5001,无底洞1_10,10001,桤木西,通关无底洞1_10,通关无底洞1_10,,主线,1,,,与%s对话,与%s对话,
5003,无底洞2_10,10001,桤木西,通关无底洞2_10,通关无底洞2_10,,主线,1,,,与%s对话,与%s对话,
5005,无底洞3_10,10001,桤木西,通关无底洞3_10,通关无底洞3_10,,主线,1,,,与%s对话,与%s对话,
5007,无底洞4_10,10001,桤木西,通关无底洞4_10,通关无底洞4_10,,主线,1,,,与%s对话,与%s对话,
5009,无底洞5_10,10001,桤木西,通关无底洞5_10,通关无底洞5_10,,主线,1,,,与%s对话,与%s对话,
5011,无底洞6_10,10001,桤木西,通关无底洞6_10,通关无底洞6_10,,主线,1,,,与%s对话,与%s对话,
5013,无底洞7_10,10001,桤木西,通关无底洞7_10,通关无底洞7_10,,主线,1,,,与%s对话,与%s对话,
5015,无底洞8_10,10001,桤木西,通关无底洞8_10,通关无底洞8_10,,主线,1,,,与%s对话,与%s对话,
5017,无底洞9_10,10001,桤木西,通关无底洞9_10,通关无底洞9_10,,主线,1,,,与%s对话,与%s对话,
5019,无底洞10_10,10001,桤木西,通关无底洞10_10,通关无底洞10_10,,主线,1,,,与%s对话,与%s对话,
5021,无底洞11_10,10001,桤木西,通关无底洞11_10,通关无底洞11_10,,主线,1,,,与%s对话,与%s对话,
5023,无底洞12_10,10001,桤木西,通关无底洞12_10,通关无底洞12_10,,主线,1,,,与%s对话,与%s对话,
5025,无底洞13_10,10001,桤木西,通关无底洞13_10,通关无底洞13_10,,主线,1,,,与%s对话,与%s对话,
5027,无底洞14_10,10001,桤木西,通关无底洞14_10,通关无底洞14_10,,主线,1,,,与%s对话,与%s对话,
5029,无底洞15_10,10001,桤木西,通关无底洞15_10,通关无底洞15_10,,主线,1,,,与%s对话,与%s对话,
5031,无底洞16_10,10001,桤木西,通关无底洞16_10,通关无底洞16_10,,主线,1,,,与%s对话,与%s对话,
5033,前往蜘蛛洞,10001,桤木西,完成前往蜘蛛洞,完成前往蜘蛛洞,,主线,1,,,与%s对话,与%s对话,
5035,蜘蛛洞1_10,10001,桤木西,通关蜘蛛洞1_10,通关蜘蛛洞1_10,,主线,1,,,与%s对话,与%s对话,
5037,蜘蛛洞2_10,10001,桤木西,通关蜘蛛洞2_10,通关蜘蛛洞2_10,,主线,1,,,与%s对话,与%s对话,
5039,蜘蛛洞3_10,10001,桤木西,通关蜘蛛洞3_10,通关蜘蛛洞3_10,,主线,1,,,与%s对话,与%s对话,
5041,蜘蛛洞4_10,10001,桤木西,通关蜘蛛洞4_10,通关蜘蛛洞4_10,,主线,1,,,与%s对话,与%s对话,
5043,蜘蛛洞5_10,10001,桤木西,通关蜘蛛洞5_10,通关蜘蛛洞5_10,,主线,1,,,与%s对话,与%s对话,
